Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kevin Durant,23,66,2546,26.2,.610,.265,.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,,8.5,3.7,12.2,.230,,4.7,0.5,5.2,4.6
2,Serge Ibaka,22,66,1792,19.0,.556,.006,.241,13.2,18.2,15.9,2.5,1.0,9.8,12.7,15.7,,3.0,3.2,6.2,.167,,-0.9,3.8,3.0,2.2
3,Russell Westbrook,23,66,2331,22.9,.538,.155,.326,5.0,9.4,7.4,29.8,2.5,0.7,14.2,32.7,,5.5,2.4,7.9,.163,,3.7,-0.5,3.2,3.0
4,Kendrick Perkins,27,65,1744,8.7,.528,.000,.427,8.4,18.8,13.9,6.4,0.7,3.0,27.5,11.1,,0.0,2.1,2.0,.056,,-2.7,2.1,-0.6,0.6
5,James Harden,22,62,1946,21.1,.660,.464,.587,1.9,12.2,7.4,19.3,1.6,0.6,14.8,21.6,,7.5,1.8,9.3,.230,,5.6,-1.1,4.5,3.2
6,Nick Collison,31,63,1307,12.1,.622,.005,.308,11.1,12.7,12.0,9.3,1.3,1.6,21.1,10.0,,2.3,1.2,3.5,.130,,0.9,1.3,2.2,1.4
7,Thabo Sefolosha,27,42,914,9.8,.584,.458,.277,2.8,12.5,8.0,7.4,2.1,1.4,18.7,10.6,,0.8,1.0,1.8,.095,,-0.4,1.3,0.9,0.7
8,Nazr Mohammed,34,63,692,11.0,.477,.006,.136,10.4,17.1,14.0,3.1,1.5,3.9,12.7,13.4,,0.3,1.0,1.3,.090,,-3.1,0.9,-2.2,0.0
9,Daequan Cook,24,57,989,9.2,.509,.770,.074,1.5,11.9,7.0,2.3,1.1,0.8,5.0,14.7,,0.8,0.8,1.6,.078,,-0.2,-2.4,-2.6,-0.1
10,Reggie Jackson,21,45,501,9.2,.408,.390,.182,3.4,8.3,6.0,21.2,2.6,0.1,17.3,18.7,,-0.4,0.5,0.1,.011,,-2.6,-1.3,-3.9,-0.2
11,Cole Aldrich,23,26,173,17.7,.592,.000,.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,,0.3,0.4,0.6,.176,,-2.4,2.7,0.3,0.1
12,Royal Ivey,30,34,354,4.7,.464,.726,.110,0.3,6.9,3.9,4.1,2.0,0.0,10.5,10.9,,-0.1,0.3,0.2,.025,,-1.9,-1.2,-3.1,-0.1
13,Derek Fisher,37,20,407,5.9,.429,.324,.130,0.6,7.1,4.1,10.1,1.4,0.2,11.6,14.3,,-0.2,0.2,0.1,.011,,-3.1,-1.5,-4.6,-0.3
14,Eric Maynor,24,9,137,9.1,.466,.436,.103,2.7,7.8,5.4,24.1,1.9,0.0,21.3,17.1,,0.0,0.1,0.1,.037,,-1.8,-2.2,-4.0,-0.1
15,Lazar Hayward,25,26,141,3.1,.427,.368,.316,1.7,10.6,6.5,4.2,1.1,0.5,17.2,16.8,,-0.2,0.1,-0.1,-0.040,,-5.6,-2.4,-8.0,-0.2
16,Ryan Reid,25,5,17,17.6,.800,.000,.000,7.2,6.3,6.7,0.0,0.0,0.0,16.7,16.0,,0.0,0.0,0.1,.142,,0.5,-6.0,-5.5,0.0
